Index,Project Name,Developer,Truth Score,Old Title,New Title,Title Chars,Old Description,New Description,Desc Chars,Reason for Improvement
1,DLF The Arbour,DLF,87,DLF The Arbour — Project Intelligence | Truth Estate,DLF The Arbour Review (2026): Worth Buying? Truth Score 87,58,"Independent read on DLF The Arbour by DLF — Truth Score 87/100: delivery risk, construction pace, legal and financial signals from RERA filings and public records.","Should you buy DLF The Arbour by DLF? Discover legal risks, construction progress, pricing, developer track record and delivery outlook before booking.",151,"Replaced methodology jargon with high-intent buyer decision keywords (Review, Worth Buying, Legal Risks, Delivery Outlook) and a Truth Score hook to maximize SERP click-through rate."
2,DLF Privana South,DLF,85,DLF Privana South — Project Intelligence | Truth Estate,DLF Privana South Review: Worth Buying? Truth Score 85,54,"Independent read on DLF Privana South by DLF — Truth Score 85/100: delivery risk, construction pace, legal and financial signals from RERA filings and public records.","Should you buy DLF Privana South by DLF? Discover legal risks, construction progress, pricing, developer track record and delivery outlook before booking.",154,"Replaced methodology jargon with high-intent buyer decision keywords (Review, Worth Buying, Legal Risks, Delivery Outlook) and a Truth Score hook to maximize SERP click-through rate."
3,DLF Privana North,DLF,84,DLF Privana North — Project Intelligence | Truth Estate,DLF Privana North Review: Worth Buying? Truth Score 84,54,"Independent read on DLF Privana North by DLF — Truth Score 84/100: delivery risk, construction pace, legal and financial signals from RERA filings and public records.","Should you buy DLF Privana North by DLF? Discover legal risks, construction progress, pricing, developer track record and delivery outlook before booking.",154,"Replaced methodology jargon with high-intent buyer decision keywords (Review, Worth Buying, Legal Risks, Delivery Outlook) and a Truth Score hook to maximize SERP click-through rate."
4,DLF Privana West,DLF,84,DLF Privana West — Project Intelligence | Truth Estate,DLF Privana West Review (2026): Worth Buying? Truth Score 84,60,"Independent read on DLF Privana West by DLF — Truth Score 84/100: delivery risk, construction pace, legal and financial signals from RERA filings and public records.","Should you buy DLF Privana West by DLF? Discover legal risks, construction progress, pricing, developer track record and delivery outlook before booking.",153,"Replaced methodology jargon with high-intent buyer decision keywords (Review, Worth Buying, Legal Risks, Delivery Outlook) and a Truth Score hook to maximize SERP click-through rate."
5,DLF Gardencity Enclave Phase - 1,DLF,81,DLF Gardencity Enclave Phase - 1 — Project Intelligence | Truth Estate,DLF Gardencity Enclave Phase - 1 Review: Verdict & Score 81,59,"Independent read on DLF Gardencity Enclave Phase - 1 by DLF — Truth Score 81/100: delivery risk, construction pace, legal and financial signals from RERA filings and public records.","Considering an investment in DLF Gardencity Enclave Phase - 1 by DLF? Uncover legal risks, construction progress, pricing and delivery outlook before booking.",158,"Replaced methodology jargon with high-intent buyer decision keywords (Review, Worth Buying, Legal Risks, Delivery Outlook) and a Truth Score hook to maximize SERP click-through rate."
6,DLF Gardencity Enclave Phase - 2,DLF,80,DLF Gardencity Enclave Phase - 2 — Project Intelligence | Truth Estate,DLF Gardencity Enclave Phase - 2 Review: Verdict & Score 80,59,"Independent read on DLF Gardencity Enclave Phase - 2 by DLF — Truth Score 80/100: delivery risk, construction pace, legal and financial signals from RERA filings and public records.","Considering an investment in DLF Gardencity Enclave Phase - 2 by DLF? Uncover legal risks, construction progress, pricing and delivery outlook before booking.",158,"Replaced methodology jargon with high-intent buyer decision keywords (Review, Worth Buying, Legal Risks, Delivery Outlook) and a Truth Score hook to maximize SERP click-through rate."
7,DLF The Dahlias,DLF,79,DLF The Dahlias — Project Intelligence | Truth Estate,DLF The Dahlias Review (2026): Worth Buying? Truth Score 79,59,"Independent read on DLF The Dahlias by DLF — Truth Score 79/100: delivery risk, construction pace, legal and financial signals from RERA filings and public records.","Should you buy DLF The Dahlias by DLF? Discover legal risks, construction progress, pricing, developer track record and delivery outlook before booking.",152,"Replaced methodology jargon with high-intent buyer decision keywords (Review, Worth Buying, Legal Risks, Delivery Outlook) and a Truth Score hook to maximize SERP click-through rate."
8,Ashiana Amarah Phase - 3 & 3A,Ashiana Group,79,Ashiana Amarah Phase - 3 & 3A — Project Intelligence | Truth Estate,Ashiana Amarah Phase - 3 & 3A Review: Worth Buying? Score 79,60,"Independent read on Ashiana Amarah Phase - 3 & 3A by Ashiana Group — Truth Score 79/100: delivery risk, construction pace, legal and financial signals from RERA filings and public records.","Should you buy Ashiana Amarah Phase - 3 & 3A? Review legal risks, construction progress, pricing and delivery outlook before paying your booking amount.",152,"Replaced methodology jargon with high-intent buyer decision keywords (Review, Worth Buying, Legal Risks, Delivery Outlook) and a Truth Score hook to maximize SERP click-through rate."
9,Puri Diplomatic Residences,Puri Constructions,78,Puri Diplomatic Residences — Project Intelligence | Truth Estate,Puri Diplomatic Residences Review: Verdict & Truth Score 78,59,"Independent read on Puri Diplomatic Residences by Puri Constructions — Truth Score 78/100: delivery risk, construction pace, legal and financial signals from RERA filings and public records.","Thinking of buying Puri Diplomatic Residences? Uncover legal risks, construction progress, pricing, developer track record and delivery outlook before booking.",159,"Replaced methodology jargon with high-intent buyer decision keywords (Review, Worth Buying, Legal Risks, Delivery Outlook) and a Truth Score hook to maximize SERP click-through rate."
10,Ashiana Aaroham Phase - 1,Ashiana Group,77,Ashiana Aaroham Phase - 1 — Project Intelligence | Truth Estate,Ashiana Aaroham Phase - 1 Review: Verdict & Truth Score 77,58,"Independent read on Ashiana Aaroham Phase - 1 by Ashiana Group — Truth Score 77/100: delivery risk, construction pace, legal and financial signals from RERA filings and public records.","Considering Ashiana Aaroham Phase - 1 by Ashiana Group? Uncover legal risks, construction progress, pricing and delivery outlook before paying booking amount.",158,"Replaced methodology jargon with high-intent buyer decision keywords (Review, Worth Buying, Legal Risks, Delivery Outlook) and a Truth Score hook to maximize SERP click-through rate."
